,Article_1,Article_2,Similarity
340,Bad Romance,The Last Farewell,0.7767320320893976
341,Bad Romance,Thinking Out Loud,0.9251973320093029
342,Bad Romance,Thrift Shop,0.9207209743321431
343,Bad Romance,Un-Break My Heart,0.9306117950878465
344,Bad Romance,Uptown Funk,0.9258481859602294
345,Bad Romance,Wabash Cannonball,0.8662713776628993
346,Bad Romance,Waka Waka (This Time for Africa),0.9412267036352743
347,Bad Romance,We Are the World,0.8316905118117606
348,Bad Romance,Y.M.C.A.,0.81049007396753
349,Bad Romance,"Yes Sir, I Can Boogie",0.874649645810983
350,Bad Romance,You're the One That I Want,0.8887115581078204
351,Bei Mir Bist Du Schön,Blurred Lines,0.8540548235848524
352,Bei Mir Bist Du Schön,Call Me Maybe,0.8401989882215654
353,Bei Mir Bist Du Schön,Chirpy Chirpy Cheep Cheep,0.8093339372502686
354,Bei Mir Bist Du Schön,Dance Monkey,0.7573115564406573
355,Bei Mir Bist Du Schön,Despacito,0.8729533751560068
356,Bei Mir Bist Du Schön,Earth Angel,0.889514929594987
357,Bei Mir Bist Du Schön,Gangnam Style,0.8732762814710217
358,Bei Mir Bist Du Schön,Girls Like You,0.8398302259654977
359,Bei Mir Bist Du Schön,Grenade,0.7690512277571372
360,Bei Mir Bist Du Schön,Havana,0.7783739360939226
361,Bei Mir Bist Du Schön,Hips Don't Lie,0.8765048900164958
362,Bei Mir Bist Du Schön,I Took a Pill in Ibiza,0.8693859820365578
363,Bei Mir Bist Du Schön,I Want to Hold Your Hand,0.8283400792493574
364,Bei Mir Bist Du Schön,I Will Always Love You,0.8588812480581767
365,Bei Mir Bist Du Schön,I'm a Believer,0.8316655714791514
366,Bei Mir Bist Du Schön,If I Didn't Care,0.808095580466672
367,Bei Mir Bist Du Schön,In the Summertime,0.7891677445679323
368,Bei Mir Bist Du Schön,Kung Fu Fighting,0.855982585343368
369,Bei Mir Bist Du Schön,Lean On,0.8245404197385547
370,Bei Mir Bist Du Schön,Let It Go,0.8423178110987635
371,Bei Mir Bist Du Schön,Love Me like You Do,0.8990000772560205
372,Bei Mir Bist Du Schön,Love on the Brain,0.8288140346207749
373,Bei Mir Bist Du Schön,Love Yourself,0.8340353187313229
374,Bei Mir Bist Du Schön,Macarena,0.8257081201174445
375,Bei Mir Bist Du Schön,Moves Like Jagger,0.8550279186471041
376,Bei Mir Bist Du Schön,Mundian To Bach Ke,0.8777667485117707
377,Bei Mir Bist Du Schön,My Heart Will Go On,0.8511012768917225
378,Bei Mir Bist Du Schön,My Sharona,0.8193423321807684
379,Bei Mir Bist Du Schön,My Sweet Lord,0.8396696033189351
380,Bei Mir Bist Du Schön,Needed Me,0.8566450175317555
381,Bei Mir Bist Du Schön,Old Town Road,0.7733570329498453
382,Bei Mir Bist Du Schön,One Dance,0.8672232163481752
383,Bei Mir Bist Du Schön,Right Round,0.8248629450436832
384,Bei Mir Bist Du Schön,Rock Around the Clock,0.853124994519965
385,Bei Mir Bist Du Schön,Rock Your Baby,0.7983128304964181
386,Bei Mir Bist Du Schön,Rolling in the Deep,0.8538185311933051
387,Bei Mir Bist Du Schön,Rudolph the Red-Nosed Reindeer,0.736892249157616
388,Bei Mir Bist Du Schön,See You Again,0.824107150403094
389,Bei Mir Bist Du Schön,Shape of You,0.8429853740897136
390,Bei Mir Bist Du Schön,Silent Night,0.8933791138874628
391,Bei Mir Bist Du Schön,Somebody That I Used to Know,0.8085812814412192
392,Bei Mir Bist Du Schön,Something Just Like This,0.8767236160916403
393,Bei Mir Bist Du Schön,Sweet Mother,0.8753886247889946
394,Bei Mir Bist Du Schön,Tennessee Waltz,0.8601344398782959
395,Bei Mir Bist Du Schön,The Last Farewell,0.8186854395815483
396,Bei Mir Bist Du Schön,Thinking Out Loud,0.829696558803489
397,Bei Mir Bist Du Schön,Thrift Shop,0.8666715177271171
398,Bei Mir Bist Du Schön,Un-Break My Heart,0.8282612884992598
399,Bei Mir Bist Du Schön,Uptown Funk,0.8362522627361457
400,Bei Mir Bist Du Schön,Wabash Cannonball,0.8565863914365205
401,Bei Mir Bist Du Schön,Waka Waka (This Time for Africa),0.8905929551368993
